iter	RMSE
157	9179.424848
158	9171.970867
159	9165.216382
160	9158.188395
161	9152.204714
162	9144.935722
163	9134.058588
164	9128.463535
165	9122.863161
166	9115.601353
167	9113.895474
168	9109.479938
169	9104.223547
170	9098.085485
171	9090.840937
172	9083.872215
173	9079.306329
174	9063.757616
175	9059.384429
176	9056.713161
177	9051.701246
178	9032.320598
179	9019.418051
180	9016.946407
181	9000.532085
182	8988.689394
183	8982.936754
184	8976.782808
185	8965.546888
186	8963.395894
187	8962.885901
188	8957.92236
189	8949.749322
190	8929.959868
191	8924.749646
192	8920.635227
193	8916.757294
194	8912.712843
195	8889.85998
196	8885.238174
197	8881.046505
198	8875.75216
199	8874.160615
200	8863.8826
201	8862.340528
202	8842.120743
203	8838.208818
204	8834.130894
205	8829.832955
206	8810.350159
207	8783.012991
208	8779.316961
209	8775.461053
210	8772.132076
211	8768.264276
212	8765.213014
213	8761.908899
214	8741.538801
215	8731.146873
216	8704.11647
217	8702.725158
218	8699.617832
219	8697.31225
220	8690.066883
221	8680.305275
222	8677.237419
223	8651.18106
224	8633.162421
225	8608.723709
226	8588.399104
227	8582.712392
228	8575.757897
229	8571.30126
230	8570.002204
231	8562.950059
232	8558.806298
233	8555.886686
234	8553.388121
235	8536.776328
236	8535.238709
237	8529.665203
238	8523.80315
239	8521.173987
240	8518.900513
241	8514.498236
242	8513.051201
243	8487.224952
244	8482.476471
245	8465.250084
246	8441.392862
247	8436.605188
248	8420.494002
249	8419.368736
250	8416.776884
251	8413.344216
252	8409.273244
253	8406.061028
254	8404.717527
255	8389.730736
256	8386.139968
257	8383.799969
258	8382.559051
259	8380.176762
260	8357.771786
261	8335.231254
262	8322.404102
263	8318.02773
264	8295.827699
265	8293.299075
266	8290.029226
267	8273.90358
268	8269.966573
269	8265.969491
270	8259.591676
271	8257.425312
272	8255.364838
273	8233.577
274	8218.185933
275	8216.256327
276	8209.285989
277	8208.095465
278	8200.010839
279	8196.503672
280	8189.112272
281	8186.279199
282	8185.063407
283	8181.311217
284	8167.88713
285	8164.280312
286	8159.971647
287	8155.849589
288	8154.388098
289	8150.851673
290	8144.455123
291	8123.503199
292	8118.065353
293	8114.169103
294	8111.905253
295	8091.998895
296	8090.87042
297	8086.829412
298	8083.659151
299	8082.375629
300	8069.403545
301	8049.74076
302	8048.558149
303	8047.456892
304	8045.778974
305	8042.42131
306	8041.51646
307	8034.256841
308	8030.566705
309	8027.062904
310	8025.948803
311	8022.824423
312	8021.154355
313	8019.894912
314	8007.09449
315	8005.488634
316	7994.511733
317	7990.782661
318	7978.736703
319	7974.01628
320	7955.03973
321	7924.394945
322	7919.69935
323	7901.02081
324	7898.263741
325	7892.448697
326	7891.282662
327	7888.846327
328	7871.588185
329	7868.715108
330	7867.213152
331	7864.129313
332	7857.796787
333	7850.898399
334	7837.045027
335	7823.705295
336	7820.671271
337	7813.947628
338	7810.039364
339	7808.96512
340	7806.760507
341	7803.698239
342	7798.123258
343	7794.531262
344	7793.006987
345	7788.219206
346	7770.326582
347	7757.930692
348	7753.096656
349	7736.494712
350	7733.470675
351	7729.534733
352	7724.636019
353	7718.879128
354	7716.919255
355	7712.617854
356	7708.605316
357	7705.193447
358	7701.491894
359	7685.4653
360	7681.342293
361	7673.226267
362	7661.406052
363	7651.018002
364	7648.017135
365	7645.958184
366	7628.620018
367	7626.706304
368	7624.857175
369	7622.97522
370	7611.468623
371	7595.368471
372	7591.425015
373	7589.717535
374	7586.57497
375	7583.105066
376	7567.548518
377	7565.812454
378	7555.236987
379	7537.759063
380	7528.956702
381	7514.923332
382	7510.602684
383	7508.917391
384	7494.821604
385	7484.668775
386	7475.936868
387	7466.278274
388	7459.02367
389	7458.087387
390	7447.37617
391	7444.026953
392	7442.767951
393	7440.280065
394	7435.824948
395	7429.883804
396	7427.754446
397	7414.913921
398	7407.588728
399	7405.03968
400	7395.449753
401	7394.225695
402	7393.53721
403	7391.005567
404	7385.12528
405	7376.068342
406	7373.244323
407	7370.122687
408	7368.548671
409	7357.993426
410	7355.148272
411	7352.383212
412	7349.705175
413	7343.481626
414	7339.198005
415	7330.796342
416	7328.405218
417	7316.060613
418	7311.056013
419	7298.926708
420	7295.957223
421	7289.796174
422	7288.937847
423	7282.673337
424	7279.400156
425	7276.497825
426	7272.515999
427	7269.904956
428	7265.115338
429	7263.033818
430	7260.2907
431	7247.773761
432	7245.380354
433	7236.720127
434	7233.82217
435	7222.050243
436	7212.888066
437	7205.409135
438	7202.303986
439	7199.714517
440	7195.618872
441	7194.146241
442	7191.724212
443	7189.559741
444	7184.938556
445	7176.501431
446	7174.048306
447	7171.669281
448	7169.952621
449	7166.502121
450	7164.354602
451	7163.54159
452	7155.061789
453	7152.899299
454	7150.589621
455	7148.251814
456	7146.009847
457	7145.221802
458	7139.023269
459	7135.29354
460	7133.470147
461	7131.509212
462	7128.687949
463	7125.963555
464	7122.379039
465	7118.796351
466	7116.476013
467	7110.828427
468	7106.556994
469	7097.741351
470	7096.358005
471	7088.286409
472	7084.415137
473	7081.306536
474	7068.937576
475	7056.973994
476	7053.916862
477	7052.898644
478	7044.470477
479	7043.755037
480	7039.740531
481	7029.263122
482	7026.125873
483	7024.63073
484	7013.212798
485	7009.764668
486	7001.505996
487	6998.219618
488	6994.353546
489	6992.288428
490	6990.520665
491	6988.870663
492	6984.526538
493	6978.232284
494	6967.139412
495	6957.019368
496	6954.666308
497	6952.116333
498	6941.599727
499	6938.824362
500	6928.655837
501	6927.95866
502	6922.319368
503	6919.768333
504	6912.201593
505	6907.796258
506	6900.318464
507	6897.933133
508	6888.054273
509	6885.484268
510	6883.35414
511	6876.100933
512	6870.631279
513	6867.068184
514	6865.295894
515	6862.870222
516	6853.281661
517	6847.865933
518	6843.670201
519	6842.991392
520	6840.562503
521	6840.024199
522	6837.273395
523	6835.215652
524	6833.241706
525	6823.933318
526	6814.928844
527	6806.218187
528	6805.55882
529	6803.177713
530	6802.441221
531	6792.405014
532	6791.101271
533	6783.335779
534	6781.929576
535	6780.671306
536	6772.792975
537	6770.565009
538	6767.436312
539	6764.945425
540	6757.948543
541	6755.238239
542	6751.502292
543	6750.294063
544	6749.202807
545	6747.885116
546	6744.001171
547	6742.005165
548	6740.373585
549	6739.669259
550	6735.798375
551	6726.851901
552	6720.876944
553	6712.123827
554	6709.74712
555	6706.017719
556	6698.404767
557	6696.668574
558	6689.404122
559	6685.353015
560	6684.061199
561	6681.321624
562	6677.326444
563	6669.695558
564	6666.765719
565	6659.8822
566	6654.359858
567	6647.383372
568	6644.320043
569	6642.487438
570	6639.400822
571	6634.388762
572	6632.141736
573	6631.558797
574	6629.605297
575	6622.190811
576	6620.749613
577	6614.329779
578	6607.187468
579	6600.277792
580	6598.507852
581	6594.928042
582	6594.273456
583	6592.586314
584	6581.285647
585	6574.67589
586	6572.022842
587	6568.429608
588	6561.723809
589	6555.356444
590	6554.12964
591	6552.14476
592	6545.850535
593	6540.765123
594	6538.322256
595	6536.20059
596	6534.218514
597	6528.291547
598	6524.263306
599	6521.615277
600	6515.629205
601	6515.080081
602	6513.011164
603	6509.163126
604	6507.245973
605	6503.606622
606	6501.981191
607	6496.180763
608	6495.648924
609	6493.623673
610	6488.013043
611	6486.259351
612	6482.530714
613	6477.886345
614	6475.714317
615	6469.16212
616	6465.144951
617	6464.058658
618	6461.400426
619	6456.380145
620	6454.697115
621	6447.773697
622	6446.448936
623	6444.363297
624	6442.1913
625	6440.373418
626	6438.125904
627	6432.983768
628	6429.460901
629	6423.384462
630	6421.884968
631	6417.95699
632	6415.897831
633	6413.893655
634	6409.896428
635	6408.131971
636	6406.078566
637	6404.781976
638	6403.567441
639	6397.733516
640	6396.740513
641	6395.759216
642	6393.857678
643	6387.986416
644	6385.432447
645	6379.102131
646	6377.176459
647	6374.187466
648	6369.383335
649	6368.361696
650	6366.479655
651	6364.415645
652	6363.394044
653	6361.413734
654	6351.738184
655	6350.610839
656	6350.139032
657	6347.878183
658	6344.524311
659	6342.00525
660	6341.518637
661	6336.625103
662	6335.260923
663	6332.959822
664	6330.822742
665	6329.154747
666	6327.373355
667	6321.392506
668	6319.413849
669	6318.607935
670	6315.410149
671	6307.408109
672	6305.034737
673	6303.853364
674	6298.428904
675	6296.779355
676	6293.9808
677	6292.424769
678	6290.266142
679	6286.961253
680	6285.193126
681	6279.585657
682	6277.051234
683	6271.646739
684	6267.007912
685	6265.284754
686	6262.161385
687	6260.211003
688	6257.997883
689	6256.477657
690	6254.670066
691	6253.210482
692	6251.831077
693	6247.810448
694	6246.798265
695	6242.025549
696	6240.483867
697	6236.825107
698	6235.424503
699	6231.15062
700	6229.459968
701	6228.109772
702	6225.538455
703	6224.084162
704	6222.165036
705	6217.928089
706	6216.283706
707	6213.228222
708	6203.677753
709	6201.334344
710	6192.814676
711	6187.54847
712	6186.938856
713	6181.877486
714	6180.160296
715	6178.515518
716	6175.010283
717	6169.971789
718	6163.727826
719	6159.339418
720	6153.983501
721	6152.940774
722	6151.045939
723	6149.513791
724	6145.635956
725	6144.1829
726	6143.235822
727	6141.75698
728	6139.57548
729	6136.039603
730	6134.635889
731	6133.152539
732	6127.125054
733	6120.582113
734	6113.677685
735	6111.874688
736	6108.63376
737	6106.686471
738	6102.609047
739	6098.372039
740	6096.358767
741	6090.762085
742	6085.717516
743	6083.773077
744	6082.498297
745	6077.881905
746	6074.190791
747	6072.272041
748	6071.070825
749	6068.412468
750	6067.204366
751	6064.173045
752	6055.642326
753	6052.396154
754	6050.985243
755	6049.14893
756	6044.815725
757	6044.083962
758	6042.316983
759	6035.345204
760	6028.379419
761	6021.861855
762	6015.943506
763	6014.786673
764	6013.552432
765	6007.600789
766	6004.828814
767	6003.83722
768	6000.315399
769	5996.12532
770	5994.78655
771	5993.682073
772	5992.29243
773	5989.788708
774	5989.519875
775	5987.819443
776	5986.864358
777	5985.42294
778	5983.977886
779	5981.689065
780	5980.324518
781	5978.919515
782	5977.214216
783	5973.823022
784	5971.224201
785	5967.926502
786	5961.716764
787	5959.881827
788	5956.535064
789	5955.215051
790	5953.100402
791	5951.534842
792	5948.83047
793	5947.857049
794	5941.936849
795	5940.732049
796	5937.452414
797	5935.91183
798	5934.035875
799	5929.648165
800	5928.910437
801	5926.82582
802	5924.625687
803	5922.280304
804	5920.647087
805	5919.940757
806	5919.172726
807	5918.223499
808	5918.181382
809	5914.863019
810	5913.004389
811	5911.204864
812	5910.28079
813	5908.948699
814	5907.429202
815	5905.338061
816	5904.357239
817	5902.996101
818	5899.143165
819	5896.061463
820	5894.432692
821	5892.597698
822	5890.785418
823	5888.205826
824	5886.699603
825	5884.521475
826	5883.884322
827	5883.035193
828	5878.215161
829	5877.221626
830	5876.278783
831	5873.977478
832	5871.163854
833	5869.892662
834	5868.554119
835	5867.359278
836	5865.521899
837	5864.60218
838	5861.298381
839	5859.96772
840	5859.034654
841	5855.712248
842	5850.712748
843	5849.345493
844	5848.105996
845	5845.114959
846	5844.018393
847	5837.212903
848	5835.183736
849	5834.184609
850	5832.644762
851	5831.177839
852	5829.895674
853	5828.722634
854	5826.458848
855	5824.099761
856	5822.084697
857	5821.019289
858	5820.173759
859	5818.650422
860	5816.195599
861	5811.150097
862	5809.001759
863	5805.923746
864	5804.113125
865	5801.234198
866	5799.911545
867	5799.331236
868	5798.048346
869	5796.395058
870	5791.888731
871	5788.884584
872	5787.320204
873	5781.145946
874	5774.893839
875	5773.445393
876	5772.219087
877	5770.542681
878	5767.33141
879	5765.045694
880	5763.395502
881	5761.790879
882	5760.73553
883	5757.944697
884	5755.689584
885	5754.195036
886	5752.44687
887	5749.500399
888	5748.031666
889	5743.851733
890	5738.059961
891	5736.487009
892	5734.973975
893	5732.534639
894	5727.269441
895	5724.877911
896	5722.021051
897	5718.592571
898	5716.676658
899	5715.456743
900	5713.540075
901	5711.559498
902	5710.407749
903	5708.328191
904	5707.040643
905	5704.824923
906	5703.731606
907	5701.131638
908	5700.065294
909	5698.945333
910	5697.26724
911	5695.644218
912	5694.905699
913	5693.849353
914	5693.021139
915	5689.45074
916	5684.327183
917	5683.802078
918	5681.562396
919	5680.468499
920	5679.368331
921	5678.628287
922	5677.52329
923	5676.630472
924	5673.612321
925	5672.603238
926	5667.493147
927	5664.684971
928	5663.566989
929	5662.168795
930	5660.842826
931	5659.825904
932	5658.196063
933	5653.237286
934	5651.695259
935	5649.017101
936	5647.639378
937	5644.498237
938	5641.446576
939	5638.857751
940	5637.68776
941	5634.028522
942	5631.452714
943	5630.709644
944	5629.232634
945	5624.496618
946	5621.697113
947	5619.934968
948	5618.463172
949	5615.13348
950	5613.770313
951	5608.665894
952	5604.004906
953	5602.129058
954	5600.023696
955	5598.773751
956	5594.282441
957	5592.606341
958	5590.689259
959	5589.904425
960	5588.281994
961	5586.341928
962	5584.914594
963	5583.884738
964	5576.371914
965	5574.120457
966	5572.650834
967	5571.590602
968	5569.37799
969	5567.218519
970	5566.193757
971	5564.262462
972	5563.141166
973	5560.551934
974	5559.436668
975	5558.385636
976	5556.922765
977	5554.8254
978	5552.552904
979	5546.100348
980	5544.676085
981	5542.689396
982	5540.738009
983	5538.878054
984	5537.337829
985	5533.797781
986	5532.220113
987	5529.632755
988	5524.967435
989	5522.805952
990	5519.664616
991	5518.369361
992	5516.082828
993	5513.019144
994	5509.978348
995	5508.647991
996	5506.48487
997	5504.226278
998	5503.099364
999	5501.140716
