iter	Logloss
0	0.6857504595
1	0.6788741147
2	0.6726350253
3	0.6652586348
4	0.6596510402
5	0.6526478459
6	0.6474897268
7	0.6421874482
8	0.6355163696
9	0.6306428345
10	0.6245154038
11	0.6188087486
12	0.6144286964
13	0.6080112501
14	0.6017222816
15	0.5963767802
16	0.5924658667
17	0.5887401614
18	0.5834974032
19	0.5792699158
20	0.5744167708
21	0.5708849182
22	0.5673488803
23	0.5624527327
24	0.5597599084
25	0.5556597481
26	0.5525050187
27	0.5493950409
28	0.5459072972
29	0.5428849306
30	0.5401578473
31	0.536815542
32	0.5334889068
33	0.5312192526
34	0.52845677
35	0.5248416558
36	0.5216902547
37	0.5186202961
38	0.5153998016
39	0.5122622661
40	0.5093798916
41	0.5069533725
42	0.5043334903
43	0.5022402063
44	0.4999215554
45	0.497113786
46	0.4953274479
47	0.4932608345
48	0.4911219823
49	0.4887952596
50	0.4865096134
51	0.4843492664
52	0.4820386593
53	0.4800400167
54	0.4778872076
55	0.475752532
56	0.4736711313
57	0.4712784769
58	0.4687670441
59	0.467215085
60	0.4646369475
61	0.4624660187
62	0.4607654483
63	0.4589752579
64	0.4570562426
65	0.4555333092
66	0.453657511
67	0.4523134677
68	0.4511056565
69	0.4495109964
70	0.447482895
71	0.4455828522
72	0.4440385964
73	0.4425140517
74	0.441047363
75	0.4400172011
76	0.4386185227
77	0.4371038487
78	0.4358883726
79	0.4350386422
80	0.4334690152
81	0.4324102218
82	0.4311410309
83	0.4301067335
84	0.4288719714
85	0.4276199214
86	0.4257615731
87	0.4246175812
88	0.4226588069
89	0.4212123927
90	0.4197673238
91	0.4186312335
92	0.4172276762
93	0.4160915255
94	0.414694831
95	0.4135105539
96	0.4123252371
97	0.4116563646
98	0.4104805591
99	0.4092856379
100	0.4079475827
101	0.4066233962
102	0.4056788567
103	0.4050624893
104	0.4040067803
105	0.4026406316
106	0.4014677038
107	0.4004026582
108	0.3990865332
109	0.3983520673
110	0.3974085411
111	0.3959142506
112	0.3947800443
113	0.3937523844
114	0.3928114732
115	0.3917518678
116	0.3909684224
117	0.3899049521
118	0.3891652329
119	0.388281662
120	0.3876167295
121	0.38688905
122	0.3854720295
123	0.3842981698
124	0.3836515765
125	0.3826757929
126	0.3817654054
127	0.3810884129
128	0.3802395372
129	0.379839947
130	0.3791153243
131	0.3782989599
132	0.3771920834
133	0.3760704419
134	0.3754363975
135	0.3748495536
136	0.3739069516
137	0.3732917935
138	0.3726303905
139	0.3720988345
140	0.3716277853
141	0.370834086
142	0.3699826793
143	0.3692777025
144	0.3686196481
145	0.3680194382
146	0.3673919019
147	0.3664555341
148	0.3658249992
149	0.3654013868
150	0.3646791067
151	0.3640531784
152	0.3634259384
153	0.3630586897
154	0.3623634956
155	0.3617825161
156	0.3610481059
157	0.3607471578
158	0.359956297
159	0.3593471876
160	0.358734827
161	0.3577813369
162	0.357250412
163	0.3566013939
164	0.355804421
165	0.355230589
166	0.3546794453
167	0.3540006428
168	0.3535765775
169	0.3532091234
170	0.352636047
171	0.3519890765
172	0.3513401149
173	0.3506939732
174	0.3501663131
175	0.3496611923
176	0.3489783907
177	0.3480506545
178	0.3475709101
179	0.3471152537
180	0.3466644657
181	0.3457237256
182	0.3452262649
183	0.3445244219
184	0.343745856
185	0.3431903612
186	0.3424352272
187	0.341905191
188	0.3414273524
189	0.3409553102
190	0.3405946
191	0.3397194589
192	0.3388555789
193	0.3384839508
194	0.3376875176
195	0.3372778509
196	0.3367979875
197	0.3360874194
198	0.3355582747
199	0.3349834675
200	0.3346289254
201	0.3340293531
202	0.3337959492
203	0.3332985188
204	0.3328129364
205	0.3320631116
206	0.3313827631
207	0.3310347625
208	0.3304870154
209	0.3301577146
210	0.3293811677
211	0.3292345496
212	0.328752089
213	0.328353436
214	0.3279865382
215	0.327661672
216	0.3272708137
217	0.3263739126
218	0.3255883799
219	0.3252216686
220	0.3247951526
221	0.3243720173
222	0.3237407476
223	0.323276501
224	0.3226373959
225	0.3220019509
226	0.3216016046
227	0.3209351165
228	0.3206113409
229	0.3203371726
230	0.3197771831
231	0.3190711205
232	0.3186089059
233	0.3182084679
234	0.3178891741
235	0.3174910541
236	0.3171374092
237	0.316728709
238	0.3163038973
239	0.3157706166
240	0.315413526
241	0.3149990536
242	0.3144362509
243	0.3138655107
244	0.3135247049
245	0.3129935311
246	0.3126225173
247	0.3122990773
248	0.3119257211
249	0.3115093676
250	0.3110334546
251	0.3107556825
252	0.3102457508
253	0.309774042
254	0.30918383
255	0.3084854012
256	0.3077991501
257	0.3071683744
258	0.3068039352
259	0.3064792718
260	0.3060401401
261	0.3055382725
262	0.3052159803
263	0.3047936953
264	0.3042006322
265	0.3038841211
266	0.3035277925
267	0.3031538679
268	0.3026684528
269	0.302238597
270	0.3019006392
271	0.3016979745
272	0.3014620342
273	0.3010574512
274	0.3006813317
275	0.3004368351
276	0.3000623073
277	0.2999074392
278	0.2995534225
279	0.2992213783
280	0.2987051181
281	0.2981651097
282	0.2979202798
283	0.29729747
284	0.2968548319
285	0.2962586344
286	0.2958169356
287	0.2955320844
288	0.2951624435
289	0.2947505117
